type parent child length
E 25 26 281
E 25 27 275
E 26 28 285
E 26 29 252
E 28 12 322
E 28 30 298
E 30 13 24
E 30 14 24
E 29 31 309
E 31 15 46
E 31 16 46
E 29 17 355
E 27 32 245
E 27 33 243
E 32 34 256
E 32 35 266
E 34 18 112
E 34 19 112
E 35 20 102
E 35 21 102
E 33 22 370
E 33 36 258
E 36 23 112
E 36 24 112
