type parent child length
E 14 15 259
E 14 20 247
E 15 16 273
E 15 17 306
E 16 18 266
E 18 1 131
E 18 2 131
E 16 3 397
E 17 19 336
E 17 6 364
E 19 4 28
E 19 5 28
E 20 21 273
E 20 22 251
E 21 7 409
E 21 23 382
E 23 8 27
E 23 9 27
E 22 24 241
E 22 25 261
E 24 10 190
E 24 11 190
E 25 12 170
E 25 13 170
