parent	child	time
0	1	100
0	2	100
1	11	250
1	12	250
11	X	665
11	112	665
112	1121	825
112	1122	825
1121	11211	659
1121	11212	659
1122	11221	609
1122	11222	609
12	121	638
12	122	638
121	1211	921
121	1212	921
1211	12111	917
1211	12112	917
1212	12121	755
1212	12122	755
122	1221	1770
122	1222	1770
2	21	280
2	22	280
21	211	539
21	212	539
211	2111	1174
211	2112	1174
2111	21111	647
2111	21112	647
2112	21121	643
2112	21122	643
22	221	853
22	222	853
221	2211	1196
221	2212	1196
