type parent child length
N 14 15 287
N 15 16 672
N 15 18 639
N 14 20 611
E 16 1 1368
E 16 17 1075
E 17 2 293
E 17 3 293
E 18 4 1401
E 18 19 1217
E 19 5 184
E 19 6 184
E 20 21 596
E 21 22 756
E 22 7 363
E 22 8 363
E 21 23 488
E 23 9 630
E 23 10 630
E 20 24 1067
E 24 11 649
E 24 25 483
E 25 12 166
E 25 13 166
