type parent child length
N 20 21 250
N 20 31 280
N 21 22 665
N 21 26 638
N 22 1 1274
N 22 23 825
N 31 32 539
N 31 36 853
N 36 37 1196
N 36 19 1597
E 23 24 659
E 24 2 331
E 24 3 331
E 23 25 609
E 25 4 381
E 25 5 381
E 26 27 921
E 27 28 917
E 28 6 4
E 28 7 4
E 27 29 755
E 29 8 166
E 29 9 166
E 26 30 1770
E 30 10 72
E 30 11 72
E 32 33 1174
E 33 34 647
E 34 12 90
E 34 13 90
E 33 35 643
E 35 14 94
E 35 15 94
E 32 16 1911
E 37 17 401
E 37 18 401
